Skin type,Product,Concern,product_url,product_pic
"Normal,Combination,Oily,Dry,Sensitive",Acnedew Anti Acne & Anti Pimple Cream,Pimples,https://www.1mg.com/otc/acnedew-anti-acne-anti-pimple-cream-otc750347,https://rukminim2.flixcart.com/image/850/1000/k6jnfrk0/moisturizer-cream/r/f/f/75-antiacne-antipimple-acnedew-cream-original-imafzzasfv4eqaqx.jpeg?q=20&crop=false
Dry,Deriva Cms Gel,Acne,https://www.1mg.com/drugs/deriva-cms-gel-156191,https://www.skinpharmacy.in/wp-content/uploads/2020/11/DERIVA-CMS-GEL-600x600.jpg
"Dry,Sensitive,Combination",Kojivit Ultra Gel,"Dark Spots,Pigmentation",https://www.1mg.com/otc/kojivit-ultra-gel-otc329851,https://www.clickoncare.com/cdn/shop/products/buy-kojivit-ultra-cream-8174779703.jpg?v=1681806294
"Normal,Oily",SBL Silk N Stay Aloe Vera Cream,Hydration,https://www.1mg.com/otc/sbl-silk-n-stay-aloe-vera-cream-for-normal-oily-skin-otc328964,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/c0b4b163544a4e09868027b8c63c71ac.jpg"
Oily,Ultra-light Liquid Moisturiser,Hydration,https://www.simpleskincare.in/products/ultra-light-liquid-moisturiser-with-thyme-witch-hazel-60ml,https://www.simpleskincare.in/cdn/shop/files/11_1000x1000.jpg?v=1705059025
"Oily,Combination",Cerene Illuminating water cream,"Hydration,Broken barrier",https://www.worldofcerene.com/products/illuminating-water-cream,https://www.worldofcerene.com/cdn/shop/products/Blue.jpg?v=1653613147&width=1946
"Normal,Dry,Sensitive",Cerene Hydrating Cloud Cream,"Hydration,Broken barrier",https://www.worldofcerene.com/products/hydrating-cloud-cream,https://www.worldofcerene.com/cdn/shop/products/Orange.jpg?v=1665390508&width=1946
"Oily,Combination",Barrier Relief LIGHTWEIGHT CERAMIDE MOISTURIZER,"Hydration,Broken barrier",https://theformularx.com/products/barrier-relief-moisturizer,https://theformularx.com/cdn/shop/files/barrier_relief_ceramide_moisturizer.png?v=1708348211
Dry,Air Brush Facial ALL IN ONE LACTIC ACID EXFOLIATOR,"Hydration,Exfoliation",https://theformularx.com/products/air-brush-facial-lactic-acid-serum,https://theformularx.com/cdn/shop/files/AIRBRUSHFACIAL.jpg?v=1691583253
"Oily,Combination","2% BHA Exfoliator SALICYLIC ACID 2% + NIACINAMIDE
","Whitehead/Blackhead,Exfoliation",https://theformularx.com/products/2-bha-exfoliator-salicylic-acid-niacinamide,https://theformularx.com/cdn/shop/files/BHAEXFOLIATOR.jpg?v=1691584362
Combination,Amrit – Face Serum Mist- Hyaluronic & Probiotics,"Acne,Dark Spots",https://amayranatural.in/product/probiotics-hydrating-face-toner-mist-serum/,https://amayranatural.in/wp-content/uploads/2022/04/1-6.png
"Dry,Normal",Soultree Nourishing Cream - Saffron & Almond Oil with Natural Vitamin E,Hydration,https://www.soultree.in/collections/normal-skin-type/products/nourishing-cream-saffron-almond-oil-with-natural-vitamin-e-50g,https://m.media-amazon.com/images/I/31BzBVMtDzL._SR600%2C315_PIWhiteStrip%2CBottomLeft%2C0%2C35_PIStarRatingTHREEANDHALF%2CBottomLeft%2C360%2C-6_SR600%2C315_ZA574%2C445%2C290%2C400%2C400%2CAmazonEmberBold%2C12%2C4%2C0%2C0%2C5_SCLZZZZZZZ_FMpng_BG255%2C255%2C255.jpg
Oily,"Ilana Clarifying & Calming Night Gel with Niacinamide, Green Tea and Cica","Hydration,Broken barrier",https://vanitywagon.in/collections/ilana/products/ilana-clarifying-and-calming-night-gel-with-niacinamide-green-tea-and-cica,https://vanitywagon.in/cdn/shop/products/Ilana_Clarifying_Calming_Night_Gel_with_Niacinamide_Green_Tea_and_Cica-1_618x618.jpg?v=1668066032
"Oily,Combination",Kaya Purifying Cleanser - Acne Prone Skin - Salicylic Acid,Acne,https://www.kaya.in/kaya-acne-free-purifying-cleanser-50ml.html,"https://ik.imagekit.io/wlfr/wellness/images/products/352063-1.jpg/tr:w-3840,dpr-1,c-at_max,cm-pad_resize,ar-1210-700,pr-true,f-webp,q-80,l-image,i-Wellness_logo_BDwqbQao9.png,lfo-bottom_right,w-200,h-90,c-at_least,cm-pad_resize,l-end"
"Oily,Dry",PROTEGO 46 MINERAL SUNSCREEN,Sun protection,https://peaucare.in/products/protego-46-mineral-sunscreen-for-dry-skin,https://peaucare.in/cdn/shop/files/Peaucareimg.jpg?v=1704877173&width=800
Dry,Shea Butter & Amino Acid Multitasking Cream - 50G,Broken barrier,https://www.drsheths.com/collections/all/products/shea-butter-amino-acid-multitasking-cream-50g,https://www.drsheths.com/cdn/shop/files/SheaButterAminoAcid_1st.jpg?v=1702462884
Dry,Centella & Niacinamide Serum,Broken barrier,https://www.drsheths.com/collections/all/products/centella-niacinamide-serum,https://www.drsheths.com/cdn/shop/products/Image.jpg?v=1668337489
Sensitive,Vitamin C Brightening Serum VITAMIN C 10% + ARBUTIN 2% + NAG 2%,Pigmentation,https://theformularx.com/products/vitamin-c-10-arbutin-2-n-acetylglucosamine-2,https://theformularx.com/cdn/shop/files/vitamin_c_serum.jpg?v=1708351741
Dry ,Malazia HYDRA VEIL GEL MOISTURIZER ,Acne,https://theformularx.com/products/malazia-hydra-veil-gel-moisturizer,https://theformularx.com/cdn/shop/files/hydraveil_moisturizer.jpg?v=1708351794
"Dry,Sensitive",Barrier Plus PEPTIDE CERAMIDE MOISTURIZER,"Hydration,Broken barrier,Irritation",https://theformularx.com/products/peptide-ceramide-moisturizer-barrier-plus,https://theformularx.com/cdn/shop/files/barrier_plus_peptide_ceramide_moisturizer.png?v=1708348525
"Dry,Normal,Oily,Combination",6% AHA BHA Exfoliator 5% Glycolic acid + 1% Salicylic acid,"Whitehead/Blackhead,Exfoliation",https://theformularx.com/collections/treat/products/6-aha-bha-exfoliator-glycolic-salicylic-acid,https://theformularx.com/cdn/shop/files/AHABHAEXFOLIATOR.jpg?v=1691585215
Oily,Neem & Salicylic Acid Face Wash,"Whitehead/Blackhead,Exfoliation",https://www.drsheths.com/collections/all/products/neem-salicylic-acid-face-wash,https://www.drsheths.com/cdn/shop/products/Neem-_-Salicylic-Acid-Face-Wash-1_77b0d08b-c841-4525-a0a0-b40c9caba88b.jpg?v=1681578426
"Dry,Normal",DOUSE BARRIER REPAIR FACE CREAM,Hydration,https://peaucare.in/products/douse-barrier-repair-face-cream,https://peaucare.in/cdn/shop/files/Douse.jpg?v=1705066668&width=800
Oily,INVISIBLE SUNSCREEN SPF 40 PA +++ SUNSCREEN FOR OILY SKIN,Sun protection,https://peaucare.in/products/invisible-sunscreen-spf-40-pa-for-oily-skin,https://peaucare.in/cdn/shop/files/Invisiblesunscreen.jpg?v=1705062585&width=800
